year,month,day,hour,minute,AM/PM,location,type,gender
2022,11,28,5,52,PM,"552 Chicopee St., Chicopee",PEDESTRIAN,M
2022,11,26,10,45,AM,"221 Cocasset St., Foxborough",PEDESTRIAN,M
2022,11,24,7,28,PM,"SR-18 NORTH + I-195 WEST, New Bedford",MOTORCYCLE: OPERATOR,M
2022,11,24,2,11,AM,"235 Center St., Chicopee",PASSENGER,M
2022,11,24,2,7,AM,"I-195 WEST, EXIT 16, Westport",OPERATOR,M
2022,11,22,1,56,PM,"Granite St. + Davis Rd., Braintree",OPERATOR,F
2022,11,21,7,16,PM,"108 Forest Ave., Brockton",PEDESTRIAN,M
2022,11,21,10,45,AM,"94 Derby St., Suite 275, Hingham",PEDESTRIAN,M
2022,11,21,10,35,AM,"I-495 NORTH, MM 69.6, Bolton",OPERATOR,M
2022,11,19,10,31,PM,"800 South St., Waltham",PASSENGER,F
2022,11,17,2,26,PM,"SR-140, north of Green St., Gardner",OPERATOR,M
2022,11,17,7,1,AM,"Mohawk Trail, Greenfield",OPERATOR,F
2022,11,17,4,59,AM,"US-3 NORTH, MM 91.6, Tyngsborough",PEDESTRIAN,M
2022,11,12,5,26,AM,"I-495 NORTH, MM 85.7, Chelmsford",OPERATOR,M
2022,11,11,10,21,PM,"476 Southern Artery, Quincy",PEDESTRIAN,M
2022,11,11,3,29,PM,"106 Milton St., Dedham",MOTORCYCLE: OPERATOR,M
2022,11,11,8,37,AM,"785 Pearl St., Gardner",OPERATOR,F
2022,11,11,1,37,AM,"I-90 WEST, MM 114, Framingham",OPERATOR,M
2022,11,10,6,0,AM,"68 Franklin St., Framingham",PEDESTRIAN,M
2022,11,7,2,13,PM,"164 Kingsman St., Taunton",OPERATOR,F
2022,11,7,9,0,AM,"US-3 SOUTH, prior to MM 73.2, Bedford",OPERATOR,M
2022,11,6,12,47,PM,"Middlesex Tpke. + Blue Sky Dr., Burlington",MOTORCYCLE: OPERATOR,M
2022,11,6,1,11,AM,"262 Pleasant St., Brockton",OPERATOR,M
2022,11,4,11,21,PM,"174 Marvel St., Swansea",OPERATOR,M
2022,11,4,4,21,PM,"587 Centre St., Brockton",PASSENGER,M
2022,11,3,1,7,PM,"SR-24 SOUTH, MM 27.4, West Bridgewater",OPERATOR,M
2022,11,2,5,32,PM,"US-44 WEST, east of MM 29.2, Carver",PASSENGER,M
2022,11,2,5,32,PM,"US-44 WEST, east of MM 29.2, Carver",PASSENGER,F
2022,11,1,3,23,PM,"West Central St. + Union St., Franklin",OPERATOR,F
2022,11,1,7,47,AM,"Beech Hill Rd., Blandford",OPERATOR,F
2022,10,31,12,4,PM,"135 Great Rd., Acton",MOTORCYCLE: OPERATOR,M
2022,10,29,10,8,PM,"SR-9 EAST + South St., Shrewsbury",PEDESTRIAN,F
2022,10,29,6,16,PM,"417 Springfield St., Chicopee",PEDESTRIAN,F
2022,10,29,2,55,AM,"270 South St., Agawam",OPERATOR,M
2022,10,29,1,17,AM,"86 Broadway St., Methuen",PEDESTRIAN,M
2022,10,27,6,19,PM,"102 North Main St. SOUTH, East Longmeadow",BICYCLIST,M
2022,10,26,4,14,PM,"Phinney's Ln. + Old Strawberry Hill Rd., Barnstable",OPERATOR,F
2022,10,25,5,33,AM,"SR-7, near Pike Rd., Sheffield",PASSENGER,M
2022,10,25,5,33,AM,"SR-7, near Pike Rd., Sheffield",PASSENGER,M
2022,10,25,5,33,AM,"SR-7, near Pike Rd., Sheffield",PASSENGER,F
2022,10,23,9,35,PM,"330 Middlesex Ave., Medford",PEDESTRIAN,M
2022,10,22,11,44,PM,"I-495 NORTH, MM 86, Chelmsford",OPERATOR,M
2022,10,22,9,41,PM,"I-93 SOUTH, EXIT 15A, Boston",PEDESTRIAN,M
2022,10,21,10,19,PM,"SR-146 SOUTH, MM .05, Uxbridge",OPERATOR,M
2022,10,21,9,37,PM,"I-93 NORTH, EXIT 31, Wilmington",MOTORCYCLE: OPERATOR,M
2022,10,20,7,1,PM,"2 High St., Monson",PEDESTRIAN,F
2022,10,18,5,36,AM,"I-93 SOUTH, EXIT 22, Medford",PASSENGER,F
2022,10,17,10,54,PM,"I-495 SOUTH, MM 1.4, Wareham",OPERATOR,F
2022,10,16,1,48,AM,"841 Western Ave., Lynn",OPERATOR,M
2022,10,16,1,47,AM,"46 McKay St., Beverly",MOTORCYCLE: OPERATOR,M
2022,10,16,12,24,AM,"1735 G.A.R. Highway, Swansea",OPERATOR,M
2022,10,15,3,56,AM,"I-495 SOUTH, MM 29.8, Mansfield",OPERATOR,F
2022,10,15,3,56,AM,"I-495 SOUTH, MM 29.8, Mansfield",OPERATOR,M
2022,10,13,9,24,PM,"1983 Main St., Marshfield",OPERATOR,M
2022,10,13,6,33,PM,"248 Great Rd., Acton",PEDESTRIAN,M
2022,10,13,7,0,AM,"I-495 SOUTH, north of I-93 interchange, Andover",OPERATOR,M
2022,10,12,4,25,PM,"178 Forest St., Needham",OPERATOR,M
2022,10,12,11,40,AM,"US-3 SOUTH, MM 33.2, Norwell",OPERATOR,M
2022,10,12,11,31,AM,"I-495 SOUTH, south of EXIT 2, Wareham",OPERATOR,F
2022,10,9,8,57,PM,"I-495 NORTH, MM 90.4, Chelmsford",OPERATOR,F
2022,10,8,10,0,PM,"I-93 NORTH, prior to EXIT 20, Boston",PASSENGER,F
2022,10,8,10,0,PM,"I-93 NORTH, prior to EXIT 20, Boston",PASSENGER,F
2022,10,8,8,23,PM,"482 Springfield St., Chicopee",PEDESTRIAN,M
2022,10,8,5,14,AM,"I-495 NORTH, MM 36, Plainville",PEDESTRIAN,M
2022,10,6,8,19,PM,"SR-28 SOUTH (158 Main St.), North Reading",PEDESTRIAN,F
2022,10,6,7,10,PM,"I-190 NORTH, MM 18.2, Leominster",PASSENGER,F
2022,10,4,8,57,PM,"35 Spring St., Boston",PEDESTRIAN,M
2022,10,4,2,42,AM,"I-495 NORTH, EXIT 62, Marlborough",OPERATOR,M
2022,10,3,8,27,AM,"22 Coleman St., Gardner",PEDESTRIAN,F
2022,10,2,3,22,AM,"I-95 NORTH, north of EXIT 13, Foxborough",PASSENGER,M
2022,10,1,2,29,AM,"I-93 SOUTH, MM 12.4, Boston",PEDESTRIAN,M
2022,10,1,1,22,AM,"797 Berkshire Ave., Springfield",OPERATOR,M
2022,9,30,12,2,PM,"3512 Jacobs Ladder Rd., Becket",OPERATOR,M
2022,9,30,3,4,AM,"SR-24 NORTH, south of EXIT 28, West Bridgewater",OPERATOR,M
2022,9,29,2,0,PM,"29 Weaver St., Wareham",OPERATOR,M
2022,9,28,7,20,PM,"115 SR-28, Yarmouth",PEDESTRIAN,F
2022,9,28,4,10,PM,"60 Broad Cove Rd., Hingham",OPERATOR,M
2022,9,26,8,47,PM,"172 Winter St., Haverhill",PEDESTRIAN,F
2022,9,26,7,52,AM,"94 Berkley St., Lawrence",PEDESTRIAN,F
2022,9,25,11,20,PM,"266 South Border Rd., Medford",OPERATOR,M
2022,9,25,3,19,PM,"18 Leicester St., Oxford",MOTORCYCLE: OPERATOR,M
2022,9,25,2,45,PM,"777 Rogers St., Lowell",MOTORCYCLE: OPERATOR,M
2022,9,25,6,59,AM,"1800 Great Pond Rd., North Andover",PASSENGER,F
2022,9,24,10,59,PM,"85 School St., Boylston",MOTORCYCLE: OPERATOR,M
2022,9,22,11,4,AM,"93 Gardner Rd., Winchendon",MOTORCYCLE: OPERATOR,F
2022,9,21,7,52,PM,"Dalton Ave. + Hubbard Ave., Pittsfield",BICYCLIST,M
2022,9,18,4,21,AM,"1296 West St., Attleboro",OPERATOR,M
2022,9,18,4,21,AM,"1296 West St., Attleboro",PASSENGER,M
2022,9,16,2,58,PM,"12 Railroad Ave., Rockport",PEDESTRIAN,F
2022,9,16,1,59,PM,"414 Granby Rd., Chicopee",PEDESTRIAN,M
2022,9,15,10,55,AM,"140 South Quinsigamond Ave., Shrewsbury",OPERATOR,F
2022,9,14,10,30,PM,"60 Baldwinville State Rd., Winchendon",OPERATOR,M
2022,9,14,3,5,PM,"Soldiers Field Rd. (Eliot Bridge), Boston",OPERATOR,M
2022,9,13,11,30,PM,"411 Salem St., Wilmington",OPERATOR,F
2022,9,12,5,25,PM,"299 Page Blvd., Springfield",MOTORCYCLE: OPERATOR,M
2022,9,12,12,12,PM,"26 Shawsheen Rd., Bedford",PEDESTRIAN,F
2022,9,10,8,11,PM,"327 River Rd., Florida",MOTORCYCLE: OPERATOR,M
2022,9,10,5,35,PM,"786 Plainfield Rd., Ashfield",OPERATOR,F
2022,9,9,9,38,PM,"25 Conlin Rd., Oxford",OPERATOR,F
2022,9,9,4,35,PM,"I-495 NORTH, MM 75.6, Boxborough",OPERATOR,M
2022,9,8,9,35,AM,"Morton St. + Selden St., Boston",PEDESTRIAN,M
2022,9,5,10,13,AM,"SR-116 (Sunderland Rd.), Deerfield",OPERATOR,M
2022,9,4,11,30,PM,"593 Lynn Fells Pkwy., Melrose",OPERATOR,M
2022,9,4,7,48,PM,"GAR Hwy. + I-195 WEST, Swansea",PEDESTRIAN,M
2022,9,3,3,47,PM,"147 Frost Rd., Tyngsborough",PASSENGER,F
2022,9,3,1,52,PM,"Walnut St., Lynnfield",OPERATOR,F
2022,9,2,9,1,PM,"1269 Main St., Worcester",PEDESTRIAN,F
2022,9,1,4,46,AM,"Centre St. + Columbus Ave., Boston",PEDESTRIAN,M
2022,8,31,8,18,PM,"273 Pleasant St., Brockton",PEDESTRIAN,M
2022,8,31,5,17,PM,"66 Belmont St., Worcester",MOTORCYCLE: OPERATOR,M
2022,8,31,5,59,AM,"280 Providence St., Worcester",PEDESTRIAN,M
2022,8,28,7,21,AM,"182 North Shore Rd., Revere",OPERATOR,M
2022,8,28,2,20,AM,"US-1 NORTH + SR-16 EAST, Chelsea",OPERATOR,M
2022,8,27,10,34,PM,"Lowell Connector NORTH, near Industrial Ave., Lowell",PEDESTRIAN,M
2022,8,27,8,0,PM,"Chestnut St. + Congress St., Springfield",BICYCLIST,M
2022,8,27,11,3,AM,"US-3 SOUTH, EXIT 84, Chelmsford",OPERATOR,M
2022,8,27,1,40,AM,"SR-16 WEST + Vine St., Everett",PEDESTRIAN,M
2022,8,26,1,21,AM,"US-20 EAST, MM 91.6, Brimfield",PEDESTRIAN,F
2022,8,24,10,13,PM,"I-95 NORTH, MM 85, Newburyport",MOTORCYCLE: OPERATOR,M
2022,8,24,8,30,PM,"SR-24 NORTH, EXIT 38A, Stoughton",OPERATOR,F
2022,8,24,7,55,PM,"I-495 NORTH, EXIT 118, Amesbury",MOTORCYCLE: OPERATOR,M
2022,8,24,4,8,PM,"West Falmouth Hwy. + Chapoquoit Rd., Falmouth",MOTORCYCLE: OPERATOR,F
2022,8,24,9,12,AM,"Graham St. + Lancaster St., Leominster",OPERATOR,M
2022,8,23,10,4,PM,"US-1 SOUTH at Essex St., Saugus",PEDESTRIAN,M
2022,8,23,3,0,AM,"Main St. + Sterling Rd., Lancaster",OPERATOR,M
2022,8,22,9,13,AM,"Hayward St. + Commercial St., Braintree",OPERATOR,F
2022,8,20,2,58,PM,"SR-106, 204 Plymouth St., Halifax",PEDESTRIAN,M
2022,8,20,2,45,AM,"SR-140 SOUTH, MM 2.6, New Bedford",PEDESTRIAN,F
2022,8,19,8,43,AM,"300 Sunderland Rd., Amherst",OPERATOR,F
2022,8,19,12,34,AM,"I-90 EAST, MM 84.2, Charlton",OPERATOR,F
2022,8,18,4,30,AM,"369 Hosmer St., Marlborough",OPERATOR,M
2022,8,17,12,17,AM,"I-495 NORTH, MM 58, Hopkinton",OPERATOR,M
2022,8,16,7,45,PM,"19 Littleton Rd., Westford",OPERATOR,M
2022,8,16,5,15,PM,"SR-2 EAST, MM 103, Lancaster",OPERATOR,M
2022,8,16,11,53,AM,"3900 Falmouth Rd., Barnstable",MOTORCYCLE: OPERATOR,M
2022,8,13,11,37,PM,"I-290 WEST, west of EXIT 20, Worcester",PEDESTRIAN,M
2022,8,13,9,17,AM,"300 Salem End Rd., Framingham",MOTORCYCLE: OPERATOR,M
2022,8,12,5,21,PM,"South Ave. WEST + West St., Attleboro",OPERATOR,M
2022,8,12,11,28,AM,"1055 Broadway, Somerville",BICYCLIST,M
2022,8,12,5,43,AM,"I-93 NORTH, prior to EXIT 4, Randolph",PASSENGER,M
2022,8,11,12,7,AM,"608 Reed Rd., Swansea",MOTORCYCLE: OPERATOR,M
2022,8,9,2,40,AM,"Lebanon St. (near Sylvan St.), Melrose",OPERATOR,M
2022,8,7,11,30,AM,"1001 Pawtucket Blvd., Lowell",PASSENGER,F
2022,8,6,9,7,PM,"Glenview St. + Pearl St., Upton",PASSENGER,M
2022,8,6,2,4,PM,"676 Boston St., Lynn",OPERATOR,M
2022,8,5,3,24,PM,"56 Mason Rd., Townsend",OPERATOR,F
2022,8,4,7,44,PM,"I-95 SOUTH, MM 17, Sharon",OPERATOR,M
2022,8,3,10,18,PM,"Broadway + Fenno St. + Beach St., Revere",MOTORCYCLE: OPERATOR,M
2022,8,3,12,0,PM,"990 Vernon St., Bridgewater",PASSENGER,M
2022,8,3,9,49,AM,"2218 Turnpike St., North Andover",OPERATOR,F
2022,8,3,7,57,AM,"SR-202 EAST, Holyoke",OPERATOR,M
2022,8,2,9,58,PM,"Walnut Ave. + Seaver St., Boston",PEDESTRIAN,M
2022,8,2,7,29,PM,"113 Northampton St., Easthampton",PEDESTRIAN,F
2022,8,2,7,29,PM,"113 Northampton St., Easthampton",PEDESTRIAN,M
2022,8,2,11,37,AM,"165 Main St., Medway",OPERATOR,M
2022,8,1,7,0,PM,"334 Park St., North Reading",OPERATOR,M
2022,7,31,10,40,PM,"SR-116, MM 12.9, Granby",OPERATOR,M
2022,7,31,9,44,PM,"390 Bridge St., Hamilton",OPERATOR,M
2022,7,31,12,20,PM,"134 New Boston St., Woburn",OPERATOR,M
2022,7,31,1,55,AM,"502 Baldwinville Rd., Templeton",PASSENGER,M
2022,7,31,1,55,AM,"502 Baldwinville Rd., Templeton",OPERATOR,M
2022,7,30,7,2,AM,"I-290 EAST, MM 21.6, Worcester",PASSENGER,F
2022,7,30,7,2,AM,"I-290 EAST, MM 21.6, Worcester",OPERATOR,M
2022,7,30,6,37,AM,"Main St. + Bridge St., Lakeville",OPERATOR,M
2022,7,29,9,24,PM,"Fellsway + Charles St., Malden",MOTORCYCLE: OPERATOR,M
2022,7,29,7,25,PM,"EXIT 3 on ramp to I-391 SOUTH, Chicopee",MOTORCYCLE: OPERATOR,M
2022,7,29,4,30,PM,"27 Montgomery St., Chicopee",PASSENGER,F
2022,7,29,4,30,PM,"27 Montgomery St., Chicopee",OPERATOR,M
2022,7,27,12,0,AM,"74 Bennett St., Boston",MOTORCYCLE: OPERATOR,M
2022,7,26,3,1,PM,"64 North Ave., Wakefield",OPERATOR,F
2022,7,26,12,45,AM,"Greenbrier St. + Tonawanda St., Boston",PASSENGER,M
2022,7,24,4,52,PM,"21 1st St., Webster",BICYCLIST,M
2022,7,24,4,3,PM,"789 East St. SOUTH, Dedham",OPERATOR,M
2022,7,24,11,25,AM,"I-495 SOUTH, .5 miles south of I-93, Andover",OPERATOR,M
2022,7,24,10,28,AM,"Grant Rd. + Quinn St., Lynn",OPERATOR,M
2022,7,24,7,28,AM,"22 Olde Canal Dr., Lowell",MOTORCYCLE: OPERATOR,M
2022,7,23,9,51,PM,"Main St. + Chandler St., Worcester",PASSENGER,F
2022,7,23,9,1,PM,"SR-122 - 1136 Grafton St. , Worcester",MOTORCYCLE: OPERATOR,M
2022,7,23,2,23,AM,"SR-24 NORTH, EXIT 35A, Avon",OPERATOR,F
2022,7,21,7,40,AM,"Monson Rd. + Glendale Rd., Wilbraham",OPERATOR,M
2022,7,16,7,26,PM,"Landing Rd. + Parks St., Kingston",MOTORCYCLE: OPERATOR,M
2022,7,16,1,48,PM,"Wrentham Rd. + Lake St., Bellingham",MOTORCYCLE: OPERATOR,M
2022,7,15,10,30,PM,"Randolph Ave. + Chickatawbut Rd., Milton",OPERATOR,M
2022,7,13,12,9,PM,"Massachusetts Ave. + Huntington Ave., Boston",BICYCLIST,M
2022,7,12,5,24,PM,"SR-7 near Old Stockbridge Rd., Lenox",OPERATOR,M
2022,7,12,3,27,PM,"135 Library St., Chelsea",MOTORCYCLE: OPERATOR,M
2022,7,11,1,20,AM,"I-93 SOUTH, EXIT 33, Wilmington",OPERATOR,M
2022,7,10,11,49,AM,"582 Wareham St., Middleborough",OPERATOR,M
2022,7,9,10,14,PM,"I-95 NORTH, EXIT 60, Wakefield",OPERATOR,M
2022,7,8,10,1,PM,"21 Hill St., Lexington",MOTORCYCLE: OPERATOR,M
2022,7,8,5,55,AM,"SR-2 WEST, MM 79.8, Fitchburg",OPERATOR,F
2022,7,8,5,2,AM,"North Canal St. + Lyman St., Holyoke",OPERATOR,M
2022,7,5,9,35,AM,"2619 Wellington St., Dighton",MOTORCYCLE: OPERATOR,M
2022,7,4,12,5,PM,"935 Main St., Great Barrington",MOTORCYCLE: OPERATOR,M
2022,7,3,12,0,AM,"Herrick Rd. + Bow St., Peabody",MOTORCYCLE: OPERATOR,M
2022,7,1,7,23,AM,"SR-18 + Elm St. , New Bedford",OPERATOR,M
2022,6,27,10,30,PM,"I-90 EAST, MM 131, Boston",MOTORCYCLE: OPERATOR,M
2022,6,27,7,0,PM,"1850 Soldiers Field Rd., Brighton",OPERATOR,M
2022,6,27,7,0,PM,"1850 Soldiers Field Rd., Brighton",PASSENGER,F
2022,6,26,11,42,AM,"I-395 SOUTH, MM 3.3, Webster",PASSENGER,F
2022,6,26,11,42,AM,"I-395 SOUTH, MM 3.3, Webster",PASSENGER,M
2022,6,26,12,48,AM,"40 East Brimfield Holland Rd., Brimfield",PASSENGER,M
2022,6,26,12,48,AM,"40 East Brimfield Holland Rd., Brimfield",OPERATOR,M
2022,6,26,12,48,AM,"40 East Brimfield Holland Rd., Brimfield",PASSENGER,M
2022,6,25,10,28,AM,"419 Belmont St., Worcester",PEDESTRIAN,M
2022,6,25,6,4,AM,"357 Old Common Rd., Lancaster",OPERATOR,F
2022,6,24,9,55,PM,"I-95 NORTH, MM 20.6, Walpole",PEDESTRIAN,M
2022,6,23,12,33,AM,"North Canal St. + Cabot St., Holyoke",OPERATOR,M
2022,6,22,3,57,AM,"1576 State St., Springfield",PEDESTRIAN,F
2022,6,22,12,49,AM,"East Chop Rd. + Temahigan Ave., Oak Bluffs",OPERATOR,M
2022,6,20,5,2,PM,"45 Sterling St., West Boylston",MOTORCYCLE: OPERATOR,M
2022,6,18,9,41,AM,"Independence Ave. + Washington St., Braintree",OPERATOR,M
2022,6,17,10,41,PM,"192 Main St., Carver",OPERATOR,M
2022,6,14,11,0,PM,"South Royalston Rd., Royalston",OPERATOR,M
2022,6,14,7,0,PM,"Pleasant St. + Repton Dr., Watertown",BICYCLIST,M
2022,6,13,9,20,PM,"Uniquity Rd. near Chickatawbut Rd., Milton",OPERATOR,M
2022,6,13,8,53,PM,"455 Breckwood Blvd., Springfield",MOTORCYCLE: OPERATOR,M
2022,6,13,6,4,PM,"Taunton Ave. + Lincoln St., Seekonk",PASSENGER,F
2022,6,13,6,4,PM,"Taunton Ave. + Lincoln St., Seekonk",OPERATOR,M
2022,6,12,4,45,AM,"I-95 SOUTH, MM 11.8, Foxborough",OPERATOR,M
2022,6,11,5,29,PM,"SR-146 NORTH, MM 7.4, Uxbridge",MOTORCYCLE: OPERATOR,M
2022,6,11,6,5,AM,"I-90 WEST, MM 69.2, Warren",OPERATOR,M
2022,6,11,2,8,AM,"Washington St. + Tremlett St., Boston",PASSENGER,F
2022,6,10,9,48,AM,"282 SR-130, Sandwich",OPERATOR,F
2022,6,10,7,7,AM,"Somers Rd. + Pease Rd., East Longmeadow",MOTORCYCLE: OPERATOR,M
2022,6,8,3,52,PM,"South Franklin St. + Longmeadow Dr., Holbrook",MOTORCYCLE: OPERATOR,M
2022,6,7,10,6,AM,"1374 Broadway Rd., Dracut",OPERATOR,M
2022,6,7,7,20,AM,"I-290 WEST, MM 26.2, Boylston",MOTORCYCLE: OPERATOR,M
2022,6,6,5,35,PM,"130 Main St., Townsend",OPERATOR,M
2022,6,5,7,6,PM,"1691 Northampton St., Holyoke",OPERATOR,M
2022,6,5,10,23,AM,"347 East St., West Bridgewater",OPERATOR,M
2022,6,4,4,20,PM,"SR-78, Orange",MOTORCYCLE: OPERATOR,M
2022,6,4,12,29,PM,"144 Edgewater Dr. EAST, Falmouth",OPERATOR,M
2022,6,4,1,3,AM,"Storrow Dr. EAST, west of Leverett Cir., Boston",PEDESTRIAN,M
2022,6,3,11,30,PM,"235 Alewife Brook Parkway, Cambridge",PEDESTRIAN,M
2022,6,3,11,2,PM,"Roosevelt Ave. + Wilbraham Rd., Springfield",OPERATOR,M
2022,6,3,8,6,PM,"Elm St. + Main St., Dighton",MOTORCYCLE: OPERATOR,M
2022,6,3,5,13,AM,"I-495 NORTH, MM 85.4, Chelmsford",OPERATOR,M
