year,month,day,hour,minute,AM/PM,location,type,gender,lat,lon
2022,12,17,6,23,PM,"1600 Falmouth Rd., Barnstable",PASSENGER,F,41.6579399,-70.3456477
2022,12,15,4,41,PM,"122 Mashapaug Rd., Holland",OPERATOR,M,42.0575188,-72.1612815
2022,12,14,5,8,PM,"I-90 WEST, MM 85.6, Charlton",OPERATOR,F,42.153294,-71.9726527
2022,12,14,3,42,PM,"Congress St. + Dwight St., Springfield",PEDESTRIAN,M,42.1084408,-72.5952257
2022,12,14,4,21,AM,"Sumner St. + Ryan Rd., Stoughton",OPERATOR,M,42.1116751,-71.08765319999999
2022,12,13,2,46,PM,"Park St. + Tremont St., Rehoboth",PASSENGER,M,41.9033998,-71.2495392
2022,12,12,12,48,PM,"Harrison Ave. + Bernardston Rd., Greenfield",PEDESTRIAN,M,42.6067982,-72.5883426
2022,12,11,4,39,PM,"I-495 SOUTH, MM 114, Merrimac",OPERATOR,F,42.8272301,-71.0018518
2022,12,11,2,38,AM,"I-93 NORTH, near EXIT 15, Boston",PEDESTRIAN,M,42.3141189,-71.0515489
2022,12,11,1,3,AM,"I-391 NORTH, MM 2.6, Chicopee",OPERATOR,M,42.1625569,-72.611435
2022,12,10,5,0,PM,"192 Main St. + Lakeview Rd., Foxborough",OPERATOR,F,42.0655274,-71.2684757
2022,12,10,11,2,AM,"331 Highland Ave., Salem",PEDESTRIAN,F,42.4988744,-70.927526
2022,12,8,5,57,PM,"I-495 SOUTH, MM 47, Bellingham",OPERATOR,F,42.1153986,-71.4665228
2022,12,8,2,42,PM,"Milestone Rd. + New South Rd., Nantucket",MOTORCYCLE: OPERATOR,M,41.2672252,-70.0459077
2022,12,8,8,58,AM,"933 Meadow St., Chicopee",BICYCLIST,M,42.1614462,-72.6134108
2022,12,7,11,27,AM,"US-20 EAST + Old Worcester Rd., Charlton",OPERATOR,M,42.1410958,-71.9522765
2022,12,7,11,27,AM,"US-20 EAST + Old Worcester Rd., Charlton",OPERATOR,F,42.1410958,-71.9522765
2022,12,7,3,13,AM,"I-93 SOUTH, EXIT 38, Andover",OPERATOR,F,42.6578153,-71.191265
2022,12,7,2,16,AM,"Paramount Drive & New State Highway, Raynham",PASSENGER,M,41.9049696,-71.0232855
2022,12,6,9,5,PM,"US-3, near EXIT 20, Duxbury",OPERATOR,F,42.0417525,-70.6722767
2022,12,5,5,48,PM,"I-395 SOUTH, MM 10.4, Auburn",OPERATOR,M,42.1741641,-71.8445257
2022,12,3,12,20,AM,"1059 Grafton St., Worcester",PASSENGER,F,42.2434326,-71.7555434
2022,12,3,12,20,AM,"1059 Grafton St., Worcester",OPERATOR,M,42.2434326,-71.7555434
2022,11,30,4,55,PM,"945 Chicopee St., Chicopee",PEDESTRIAN,M,42.19047459999999,-72.6021523
2022,11,29,7,48,PM,"I-190 NORTH, MM 4.6, West Boylston",PEDESTRIAN,F,42.3526899,-71.8107768
2022,11,28,5,52,PM,"552 Chicopee St., Chicopee",PEDESTRIAN,M,42.1817059,-72.6153238
2022,11,26,10,45,AM,"221 Cocasset St., Foxborough",PEDESTRIAN,M,42.0627649,-71.21908979999999
2022,11,24,7,28,PM,"SR-18 NORTH + I-195 WEST, New Bedford",MOTORCYCLE: OPERATOR,M,41.6362152,-70.93420499999999
2022,11,24,2,11,AM,"235 Center St., Chicopee",PASSENGER,M,42.1418416,-72.6109436
2022,11,24,2,7,AM,"I-195 WEST, EXIT 16, Westport",OPERATOR,M,41.6785068,-71.1037659
2022,11,22,1,56,PM,"Granite St. + Davis Rd., Braintree",OPERATOR,F,42.2159719,-71.0230234
2022,11,21,7,16,PM,"108 Forest Ave., Brockton",PEDESTRIAN,M,42.0721718,-71.0236333
2022,11,21,10,45,AM,"94 Derby St., Suite 275, Hingham",PEDESTRIAN,M,42.1786956,-70.9078674
2022,11,21,10,35,AM,"I-495 NORTH, MM 69.6, Bolton",OPERATOR,M,42.4407089,-71.5883125
2022,11,19,10,31,PM,"800 South St., Waltham",PASSENGER,F,42.3546031,-71.26250290000002
2022,11,17,2,26,PM,"SR-140, north of Green St., Gardner",OPERATOR,M,42.5939869,-71.963602
2022,11,17,7,1,AM,"Mohawk Trail, Greenfield",OPERATOR,F,42.6103188,-72.5848961
2022,11,17,4,59,AM,"US-3 NORTH, MM 91.6, Tyngsborough",PEDESTRIAN,M,42.6625935,-71.4316689
2022,11,12,5,26,AM,"I-495 NORTH, MM 85.7, Chelmsford",OPERATOR,M,42.6003732,-71.3607998
2022,11,11,10,21,PM,"476 Southern Artery, Quincy",PEDESTRIAN,M,42.2545764,-70.9952378
2022,11,11,3,29,PM,"106 Milton St., Dedham",MOTORCYCLE: OPERATOR,M,42.24491219999999,-71.1512193
2022,11,11,8,37,AM,"785 Pearl St., Gardner",OPERATOR,F,42.5980512,-71.9590963
2022,11,11,1,37,AM,"I-90 WEST, MM 114, Framingham",OPERATOR,M,42.3070606,-71.4418546
2022,11,10,6,0,AM,"68 Franklin St., Framingham",PEDESTRIAN,M,42.2790877,-71.41847969999999
2022,11,7,2,13,PM,"164 Kingsman St., Taunton",OPERATOR,F,41.857281,-70.9985396
2022,11,7,9,0,AM,"US-3 SOUTH, prior to MM 73.2, Bedford",OPERATOR,M,42.489706,-71.20888
2022,11,6,12,47,PM,"Middlesex Tpke. + Blue Sky Dr., Burlington",MOTORCYCLE: OPERATOR,M,42.49598779999999,-71.227175
2022,11,6,1,11,AM,"262 Pleasant St., Brockton",OPERATOR,M,42.0869746,-71.0293074
2022,11,4,11,21,PM,"174 Marvel St., Swansea",OPERATOR,M,41.7758246,-71.1595426
2022,11,4,4,21,PM,"587 Centre St., Brockton",PASSENGER,M,42.0836623,-70.99508349999999
2022,11,3,1,7,PM,"SR-24 SOUTH, MM 27.4, West Bridgewater",OPERATOR,M,42.0176272,-71.0459131
2022,11,2,5,32,PM,"US-44 WEST, east of MM 29.2, Carver",PASSENGER,M,41.9315962,-70.7946586
2022,11,2,5,32,PM,"US-44 WEST, east of MM 29.2, Carver",PASSENGER,F,41.9315962,-70.7946586
2022,11,1,3,23,PM,"West Central St. + Union St., Franklin",OPERATOR,F,42.0834891,-71.4029793
2022,11,1,7,47,AM,"Beech Hill Rd., Blandford",OPERATOR,F,42.150078,-72.9566488
2022,10,31,12,4,PM,"135 Great Rd., Acton",MOTORCYCLE: OPERATOR,M,42.4808593,-71.41430509999999
2022,10,29,10,8,PM,"SR-9 EAST + South St., Shrewsbury",PEDESTRIAN,F,42.277199,-71.6975537
2022,10,29,6,16,PM,"417 Springfield St., Chicopee",PEDESTRIAN,F,42.1386115,-72.6013826
2022,10,29,2,55,AM,"270 South St., Agawam",OPERATOR,M,42.0434955,-72.6285283
2022,10,29,1,17,AM,"86 Broadway St., Methuen",PEDESTRIAN,M,42.7201952,-71.1811347
2022,10,27,6,19,PM,"102 North Main St. SOUTH, East Longmeadow",BICYCLIST,M,42.0687177,-72.5156159
2022,10,26,4,14,PM,"Phinney's Ln. + Old Strawberry Hill Rd., Barnstable",OPERATOR,F,41.6723445,-70.3162837
2022,10,25,5,33,AM,"SR-7, near Pike Rd., Sheffield",PASSENGER,M,42.0848761,-73.33899110000002
2022,10,25,5,33,AM,"SR-7, near Pike Rd., Sheffield",PASSENGER,M,42.0848761,-73.33899110000002
2022,10,25,5,33,AM,"SR-7, near Pike Rd., Sheffield",PASSENGER,F,42.0848761,-73.33899110000002
2022,10,23,9,35,PM,"330 Middlesex Ave., Medford",PEDESTRIAN,M,42.41455860000001,-71.0800734
2022,10,22,11,44,PM,"I-495 NORTH, MM 86, Chelmsford",OPERATOR,M,42.6003732,-71.3607998
2022,10,22,9,41,PM,"I-93 SOUTH, EXIT 15A, Boston",PEDESTRIAN,M,42.3141189,-71.0515489
2022,10,21,10,19,PM,"SR-146 SOUTH, MM .05, Uxbridge",OPERATOR,M,42.0565106,-71.6410891
2022,10,21,9,37,PM,"I-93 NORTH, EXIT 31, Wilmington",MOTORCYCLE: OPERATOR,M,42.5675509,-71.1456444
2022,10,20,7,1,PM,"2 High St., Monson",PEDESTRIAN,F,42.1022267,-72.3191343
2022,10,18,5,36,AM,"I-93 SOUTH, EXIT 22, Medford",PASSENGER,F,42.4252234,-71.103168
2022,10,17,10,54,PM,"I-495 SOUTH, MM 1.4, Wareham",OPERATOR,F,41.7979444,-70.757077
2022,10,16,1,48,AM,"841 Western Ave., Lynn",OPERATOR,M,42.4601186,-70.9694173
2022,10,16,1,47,AM,"46 McKay St., Beverly",MOTORCYCLE: OPERATOR,M,42.5592942,-70.8893582
2022,10,16,12,24,AM,"1735 G.A.R. Highway, Swansea",OPERATOR,M,41.7590629,-71.24829749999999
2022,10,15,3,56,AM,"I-495 SOUTH, MM 29.8, Mansfield",OPERATOR,F,42.004663,-71.2220076
2022,10,15,3,56,AM,"I-495 SOUTH, MM 29.8, Mansfield",OPERATOR,M,42.004663,-71.2220076
2022,10,13,9,24,PM,"1983 Main St., Marshfield",OPERATOR,M,42.153283,-70.743559
2022,10,13,6,33,PM,"248 Great Rd., Acton",PEDESTRIAN,M,42.4940535,-71.4175984
2022,10,13,7,0,AM,"I-495 SOUTH, north of I-93 interchange, Andover",OPERATOR,M,42.6644284,-71.1936343
2022,10,12,4,25,PM,"178 Forest St., Needham",OPERATOR,M,42.2935233,-71.25505509999999
2022,10,12,11,40,AM,"US-3 SOUTH, MM 33.2, Norwell",OPERATOR,M,42.1615157,-70.7927832
2022,10,12,11,31,AM,"I-495 SOUTH, south of EXIT 2, Wareham",OPERATOR,F,41.7979444,-70.757077
2022,10,9,8,57,PM,"I-495 NORTH, MM 90.4, Chelmsford",OPERATOR,F,42.6003732,-71.3607998
2022,10,8,10,0,PM,"I-93 NORTH, prior to EXIT 20, Boston",PASSENGER,F,43.2897137,-71.5707282
2022,10,8,10,0,PM,"I-93 NORTH, prior to EXIT 20, Boston",PASSENGER,F,43.2897137,-71.5707282
2022,10,8,8,23,PM,"482 Springfield St., Chicopee",PEDESTRIAN,M,42.1367998,-72.6013998
2022,10,8,5,14,AM,"I-495 NORTH, MM 36, Plainville",PEDESTRIAN,M,42.0381605,-71.3224488
2022,10,6,8,19,PM,"SR-28 SOUTH (158 Main St.), North Reading",PEDESTRIAN,F,42.5750939,-71.0786653
2022,10,6,7,10,PM,"I-190 NORTH, MM 18.2, Leominster",PASSENGER,F,42.5011551,-71.721346
2022,10,4,8,57,PM,"35 Spring St., Boston",PEDESTRIAN,M,42.2781242,-71.161655
2022,10,4,2,42,AM,"I-495 NORTH, EXIT 62, Marlborough",OPERATOR,M,42.348511,-71.5764522
2022,10,3,8,27,AM,"22 Coleman St., Gardner",PEDESTRIAN,F,42.5776671,-72.0043841
2022,10,2,3,22,AM,"I-95 NORTH, north of EXIT 13, Foxborough",PASSENGER,M,42.0602178,-71.2328673
2022,10,1,2,29,AM,"I-93 SOUTH, MM 12.4, Boston",PEDESTRIAN,M,42.3141189,-71.0515489
2022,10,1,1,22,AM,"797 Berkshire Ave., Springfield",OPERATOR,M,42.141447,-72.52319229999999
2022,9,30,12,2,PM,"3512 Jacobs Ladder Rd., Becket",OPERATOR,M,42.2831392,-73.1437425
2022,9,30,3,4,AM,"SR-24 NORTH, south of EXIT 28, West Bridgewater",OPERATOR,M,42.0176272,-71.0459131
2022,9,29,2,0,PM,"29 Weaver St., Wareham",OPERATOR,M,41.7937407,-70.7614734
2022,9,28,7,20,PM,"115 SR-28, Yarmouth",PEDESTRIAN,F,41.6571199,-70.26289919999999
2022,9,28,4,10,PM,"60 Broad Cove Rd., Hingham",OPERATOR,M,42.24933619999999,-70.9029698
2022,9,26,8,47,PM,"172 Winter St., Haverhill",PEDESTRIAN,F,42.7776723,-71.0837052
2022,9,26,7,52,AM,"94 Berkley St., Lawrence",PEDESTRIAN,F,43.6537517,-79.3653848
2022,9,25,11,20,PM,"266 South Border Rd., Medford",OPERATOR,M,42.4373325,-71.1200642
2022,9,25,3,19,PM,"18 Leicester St., Oxford",MOTORCYCLE: OPERATOR,M,42.1639271,-71.8909656
2022,9,25,2,45,PM,"777 Rogers St., Lowell",MOTORCYCLE: OPERATOR,M,42.6286824,-71.2783263
2022,9,25,6,59,AM,"1800 Great Pond Rd., North Andover",PASSENGER,F,42.7143221,-71.1066943
2022,9,24,10,59,PM,"85 School St., Boylston",MOTORCYCLE: OPERATOR,M,42.345695,-71.7334022
2022,9,22,11,4,AM,"93 Gardner Rd., Winchendon",MOTORCYCLE: OPERATOR,F,42.6404398,-72.004824
2022,9,21,7,52,PM,"Dalton Ave. + Hubbard Ave., Pittsfield",BICYCLIST,M,42.4697834,-73.1966971
2022,9,18,4,21,AM,"1296 West St., Attleboro",OPERATOR,M,41.9281193,-71.3376274
2022,9,18,4,21,AM,"1296 West St., Attleboro",PASSENGER,M,41.9281193,-71.3376274
2022,9,16,2,58,PM,"12 Railroad Ave., Rockport",PEDESTRIAN,F,42.655677,-70.624398
2022,9,16,1,59,PM,"414 Granby Rd., Chicopee",PEDESTRIAN,M,42.1567281,-72.598685
2022,9,15,10,55,AM,"140 South Quinsigamond Ave., Shrewsbury",OPERATOR,F,42.2650156,-71.7502614
2022,9,14,10,30,PM,"60 Baldwinville State Rd., Winchendon",OPERATOR,M,42.6640791,-72.07859619999999
2022,9,14,3,5,PM,"Soldiers Field Rd. (Eliot Bridge), Boston",OPERATOR,M,42.37149369999999,-71.1301234
2022,9,13,11,30,PM,"411 Salem St., Wilmington",OPERATOR,F,42.5786786,-71.14872749999999
2022,9,12,5,25,PM,"299 Page Blvd., Springfield",MOTORCYCLE: OPERATOR,M,42.1334642,-72.5601399
2022,9,12,12,12,PM,"26 Shawsheen Rd., Bedford",PEDESTRIAN,F,42.4863271,-71.2591454
2022,9,10,8,11,PM,"327 River Rd., Florida",MOTORCYCLE: OPERATOR,M,30.5598736,-81.9215361
2022,9,10,5,35,PM,"786 Plainfield Rd., Ashfield",OPERATOR,F,42.4987988,-72.8707326
2022,9,9,9,38,PM,"25 Conlin Rd., Oxford",OPERATOR,F,42.1253764,-71.900049
2022,9,9,4,35,PM,"I-495 NORTH, MM 75.6, Boxborough",OPERATOR,M,42.4934861,-71.5393449
2022,9,8,9,35,AM,"Morton St. + Selden St., Boston",PEDESTRIAN,M,42.2803622,-71.0825117
2022,9,5,10,13,AM,"SR-116 (Sunderland Rd.), Deerfield",OPERATOR,M,42.4683921,-72.5877249
2022,9,4,11,30,PM,"593 Lynn Fells Pkwy., Melrose",OPERATOR,M,42.4628806,-71.0580178
2022,9,4,7,48,PM,"GAR Hwy. + I-195 WEST, Swansea",PEDESTRIAN,M,41.7432498,-71.1932229
2022,9,3,3,47,PM,"147 Frost Rd., Tyngsborough",PASSENGER,F,42.6940761,-71.4120779
2022,9,3,1,52,PM,"Walnut St., Lynnfield",OPERATOR,F,42.5146845,-71.0293052
2022,9,2,9,1,PM,"1269 Main St., Worcester",PEDESTRIAN,F,42.2423665,-71.8438379
2022,9,1,4,46,AM,"Centre St. + Columbus Ave., Boston",PEDESTRIAN,M,42.3249346,-71.09841229999999
2022,8,31,8,18,PM,"273 Pleasant St., Brockton",PEDESTRIAN,M,42.0874233,-71.02981439999999
2022,8,31,5,17,PM,"66 Belmont St., Worcester",MOTORCYCLE: OPERATOR,M,42.2717109,-71.7952188
2022,8,31,5,59,AM,"280 Providence St., Worcester",PEDESTRIAN,M,42.2377359,-71.7924587
2022,8,28,7,21,AM,"182 North Shore Rd., Revere",OPERATOR,M,42.4383308,-70.9697846
2022,8,28,2,20,AM,"US-1 NORTH + SR-16 EAST, Chelsea",OPERATOR,M,37.2266918,-77.4013696
2022,8,27,10,34,PM,"Lowell Connector NORTH, near Industrial Ave., Lowell",PEDESTRIAN,M,42.6224191,-71.3200478
2022,8,27,8,0,PM,"Chestnut St. + Congress St., Springfield",BICYCLIST,M,42.109638,-72.59383799999999
2022,8,27,11,3,AM,"US-3 SOUTH, EXIT 84, Chelmsford",OPERATOR,M,42.6201569,-71.3545836
2022,8,27,1,40,AM,"SR-16 WEST + Vine St., Everett",PEDESTRIAN,M,42.4040052,-71.0471603
2022,8,26,1,21,AM,"US-20 EAST, MM 91.6, Brimfield",PEDESTRIAN,F,42.122043,-72.20366
2022,8,24,10,13,PM,"I-95 NORTH, MM 85, Newburyport",MOTORCYCLE: OPERATOR,M,42.813898,-70.9152693
2022,8,24,8,30,PM,"SR-24 NORTH, EXIT 38A, Stoughton",OPERATOR,F,42.121745,-71.0614057
2022,8,24,7,55,PM,"I-495 NORTH, EXIT 118, Amesbury",MOTORCYCLE: OPERATOR,M,42.8382095,-70.9451596
2022,8,24,4,8,PM,"West Falmouth Hwy. + Chapoquoit Rd., Falmouth",MOTORCYCLE: OPERATOR,F,41.5994095,-70.6367935
2022,8,24,9,12,AM,"Graham St. + Lancaster St., Leominster",OPERATOR,M,42.5208038,-71.7552117
2022,8,23,10,4,PM,"US-1 SOUTH at Essex St., Saugus",PEDESTRIAN,M,42.4572841,-71.0242069
2022,8,23,3,0,AM,"Main St. + Sterling Rd., Lancaster",OPERATOR,M,42.4415669,-71.68660430000001
2022,8,22,9,13,AM,"Hayward St. + Commercial St., Braintree",OPERATOR,F,42.228205,-70.9875915
2022,8,20,2,58,PM,"SR-106, 204 Plymouth St., Halifax",PEDESTRIAN,M,41.9965096,-70.8371263
2022,8,20,2,45,AM,"SR-140 SOUTH, MM 2.6, New Bedford",PEDESTRIAN,F,41.6932806,-70.9474864
2022,8,19,8,43,AM,"300 Sunderland Rd., Amherst",OPERATOR,F,42.4216556,-72.5370334
2022,8,19,12,34,AM,"I-90 EAST, MM 84.2, Charlton",OPERATOR,F,42.153294,-71.9726527
2022,8,18,4,30,AM,"369 Hosmer St., Marlborough",OPERATOR,M,42.36382340000001,-71.53319239999999
2022,8,17,12,17,AM,"I-495 NORTH, MM 58, Hopkinton",OPERATOR,M,42.2252332,-71.548498
2022,8,16,7,45,PM,"19 Littleton Rd., Westford",OPERATOR,M,42.5771247,-71.40205929999999
2022,8,16,5,15,PM,"SR-2 EAST, MM 103, Lancaster",OPERATOR,M,39.7136754,-82.5993294
2022,8,16,11,53,AM,"3900 Falmouth Rd., Barnstable",MOTORCYCLE: OPERATOR,M,41.6483002,-70.4276634
2022,8,13,11,37,PM,"I-290 WEST, west of EXIT 20, Worcester",PEDESTRIAN,M,42.2609917,-71.7933862
2022,8,13,9,17,AM,"300 Salem End Rd., Framingham",MOTORCYCLE: OPERATOR,M,42.2942932,-71.44861
2022,8,12,5,21,PM,"South Ave. WEST + West St., Attleboro",OPERATOR,M,41.933975,-71.3201374
2022,8,12,11,28,AM,"1055 Broadway, Somerville",BICYCLIST,M,42.3875968,-71.0994968
2022,8,12,5,43,AM,"I-93 NORTH, prior to EXIT 4, Randolph",PASSENGER,M,43.2897137,-71.5707282
2022,8,11,12,7,AM,"608 Reed Rd., Swansea",MOTORCYCLE: OPERATOR,M,29.6585287,-95.3499981
2022,8,9,2,40,AM,"Lebanon St. (near Sylvan St.), Melrose",OPERATOR,M,42.4485843,-71.0586075
2022,8,7,11,30,AM,"1001 Pawtucket Blvd., Lowell",PASSENGER,F,42.6413462,-71.37019049999999
2022,8,6,9,7,PM,"Glenview St. + Pearl St., Upton",PASSENGER,M,42.170249,-71.57560699999999
2022,8,6,2,4,PM,"676 Boston St., Lynn",OPERATOR,M,42.4624098,-70.980244
2022,8,5,3,24,PM,"56 Mason Rd., Townsend",OPERATOR,F,42.6824947,-71.743365
2022,8,4,7,44,PM,"I-95 SOUTH, MM 17, Sharon",OPERATOR,M,42.1095898,-71.2308492
2022,8,3,10,18,PM,"Broadway + Fenno St. + Beach St., Revere",MOTORCYCLE: OPERATOR,M,42.4064878,-71.01454199999999
2022,8,3,12,0,PM,"990 Vernon St., Bridgewater",PASSENGER,M,41.9457325,-71.0003969
2022,8,3,9,49,AM,"2218 Turnpike St., North Andover",OPERATOR,F,42.62640589999999,-71.0602463
2022,8,3,7,57,AM,"SR-202 EAST, Holyoke",OPERATOR,M,42.200984,-72.640317
2022,8,2,9,58,PM,"Walnut Ave. + Seaver St., Boston",PEDESTRIAN,M,42.313295,-71.09513009999999
2022,8,2,7,29,PM,"113 Northampton St., Easthampton",PEDESTRIAN,F,42.2788383,-72.6712204
2022,8,2,7,29,PM,"113 Northampton St., Easthampton",PEDESTRIAN,M,42.2788383,-72.6712204
2022,8,2,11,37,AM,"165 Main St., Medway",OPERATOR,M,42.1417641,-71.3967256
2022,8,1,7,0,PM,"334 Park St., North Reading",OPERATOR,M,42.5750939,-71.0786653
2022,7,31,10,40,PM,"SR-116, MM 12.9, Granby",OPERATOR,M,42.288504,-42.288504
2022,7,31,9,44,PM,"390 Bridge St., Hamilton",OPERATOR,M,42.6191123,-70.8322311
2022,7,31,12,20,PM,"134 New Boston St., Woburn",OPERATOR,M,42.5071097,-71.1455015
2022,7,31,1,55,AM,"502 Baldwinville Rd., Templeton",PASSENGER,M,42.5905885,-72.0733654
2022,7,31,1,55,AM,"502 Baldwinville Rd., Templeton",OPERATOR,M,42.5905885,-72.0733654
2022,7,30,7,2,AM,"I-290 EAST, MM 21.6, Worcester",PASSENGER,F,42.2609917,-71.7933862
2022,7,30,7,2,AM,"I-290 EAST, MM 21.6, Worcester",OPERATOR,M,42.2609917,-71.7933862
2022,7,30,6,37,AM,"Main St. + Bridge St., Lakeville",OPERATOR,M,41.873007,-70.927359
2022,7,29,9,24,PM,"Fellsway + Charles St., Malden",MOTORCYCLE: OPERATOR,M,42.4226993,-71.0864668
2022,7,29,7,25,PM,"EXIT 3 on ramp to I-391 SOUTH, Chicopee",MOTORCYCLE: OPERATOR,M,42.1625569,-72.611435
2022,7,29,4,30,PM,"27 Montgomery St., Chicopee",PASSENGER,F,42.1610816,-72.58249789999999
2022,7,29,4,30,PM,"27 Montgomery St., Chicopee",OPERATOR,M,42.1610816,-72.58249789999999
2022,7,27,12,0,AM,"74 Bennett St., Boston",MOTORCYCLE: OPERATOR,M,42.3517141,-71.1569955
2022,7,26,3,1,PM,"64 North Ave., Wakefield",OPERATOR,F,42.4984673,-71.0718452
2022,7,26,12,45,AM,"Greenbrier St. + Tonawanda St., Boston",PASSENGER,M,42.2976532,-71.070747
2022,7,24,4,52,PM,"21 1st St., Webster",BICYCLIST,M,42.0422912,-71.8806397
2022,7,24,4,3,PM,"789 East St. SOUTH, Dedham",OPERATOR,M,42.2345329,-71.1626631
2022,7,24,11,25,AM,"I-495 SOUTH, .5 miles south of I-93, Andover",OPERATOR,M,42.6578153,-71.191265
2022,7,24,10,28,AM,"Grant Rd. + Quinn St., Lynn",OPERATOR,M,42.501022,-70.9849673
2022,7,24,7,28,AM,"22 Olde Canal Dr., Lowell",MOTORCYCLE: OPERATOR,M,42.6232636,-71.35099129999999
2022,7,23,9,51,PM,"Main St. + Chandler St., Worcester",PASSENGER,F,42.2596255,-71.805157
2022,7,23,9,1,PM,"SR-122 - 1136 Grafton St. , Worcester",MOTORCYCLE: OPERATOR,M,42.3040645,-71.9184876
2022,7,23,2,23,AM,"SR-24 NORTH, EXIT 35A, Avon",OPERATOR,F,33.2994075,-111.6041439
2022,7,21,7,40,AM,"Monson Rd. + Glendale Rd., Wilbraham",OPERATOR,M,42.1131305,-72.3962468
2022,7,16,7,26,PM,"Landing Rd. + Parks St., Kingston",MOTORCYCLE: OPERATOR,M,42.0003222,-70.7190315
2022,7,16,1,48,PM,"Wrentham Rd. + Lake St., Bellingham",MOTORCYCLE: OPERATOR,M,42.0251113,-71.466711
2022,7,15,10,30,PM,"Randolph Ave. + Chickatawbut Rd., Milton",OPERATOR,M,42.224222,-71.070678
2022,7,13,12,9,PM,"Massachusetts Ave. + Huntington Ave., Boston",BICYCLIST,M,42.3428473,-71.08501129999999
2022,7,12,5,24,PM,"SR-7 near Old Stockbridge Rd., Lenox",OPERATOR,M,42.3560812,-73.28513559999999
2022,7,12,3,27,PM,"135 Library St., Chelsea",MOTORCYCLE: OPERATOR,M,42.3924531,-71.0268644
2022,7,11,1,20,AM,"I-93 SOUTH, EXIT 33, Wilmington",OPERATOR,M,42.5675509,-71.1456444
2022,7,10,11,49,AM,"582 Wareham St., Middleborough",OPERATOR,M,41.8222656,-70.82166289999999
2022,7,9,10,14,PM,"I-95 NORTH, EXIT 60, Wakefield",OPERATOR,M,42.5231864,-71.0594121
2022,7,8,10,1,PM,"21 Hill St., Lexington",MOTORCYCLE: OPERATOR,M,42.4553027,-71.2376994
2022,7,8,5,55,AM,"SR-2 WEST, MM 79.8, Fitchburg",OPERATOR,F,42.5474835,-71.8078684
2022,7,8,5,2,AM,"North Canal St. + Lyman St., Holyoke",OPERATOR,M,42.2071932,-72.5945661
2022,7,5,9,35,AM,"2619 Wellington St., Dighton",MOTORCYCLE: OPERATOR,M,41.8423098,-71.19128979999999
2022,7,4,12,5,PM,"935 Main St., Great Barrington",MOTORCYCLE: OPERATOR,M,42.1896609,-73.36439419999999
2022,7,3,12,0,AM,"Herrick Rd. + Bow St., Peabody",MOTORCYCLE: OPERATOR,M,42.549698,-71.017854
2022,7,1,7,23,AM,"SR-18 + Elm St. , New Bedford",OPERATOR,M,41.63695329999999,-70.9226142
2022,6,27,10,30,PM,"I-90 EAST, MM 131, Boston",MOTORCYCLE: OPERATOR,M,42.3563594,-71.1194668
2022,6,27,7,0,PM,"1850 Soldiers Field Rd., Brighton",OPERATOR,M,42.3586268,-71.157342
2022,6,27,7,0,PM,"1850 Soldiers Field Rd., Brighton",PASSENGER,F,42.3586268,-71.157342
2022,6,26,11,42,AM,"I-395 SOUTH, MM 3.3, Webster",PASSENGER,F,42.0583585,-71.860132
